query,start,end,day_count
(from:1hildegarde) OR (from:alanfarrell) OR (from:alankellylabour) OR (from:anneferristd) OR (from:annphelan1) OR (from:anthonylawlorfg) OR (from:aodhanoriordain) OR (from:aosnodaigh) OR (from:bernarddurkantd) OR (from:bgriffintd) OR (from:billy_timmins) OR (from:brendansmithtd) OR (from:brianwalshfg) OR (from:catherinegalway) OR (from:cathmurphytd) OR (from:charlieflanagan) OR (from:ciarancannon) OR (from:ciarancuffe) OR (from:claredalymep) OR (from:corcorankennedy) OR (from:cormacdevlin) OR (from:cowenbarry) OR (from:damien_english) OR (from:dannevilletd) OR (from:daracalleary) OR (from:davidcullinane) OR (from:davidstantontd) OR (from:denisnaughten) OR (from:donnellystephen) OR (from:drjamesreilly) OR (from:eamonocuiv) OR (from:eamonryan) OR (from:fergusodowd) OR (from:finianmcgrath) OR (from:fitzgeraldfrncs) OR (from:frankfeighan) OR (from:geraldnash) OR (from:ivanabacik) OR (from:janosullivantd) OR (from:jmcguinnesstd) OR (from:joan_burton) OR (from:joancollinstd) OR (from:joecareytd),2020-02-01T00:00:00.000Z,2020-02-02T00:00:00.000Z,188
(from:1hildegarde) OR (from:alanfarrell) OR (from:alankellylabour) OR (from:anneferristd) OR (from:annphelan1) OR (from:anthonylawlorfg) OR (from:aodhanoriordain) OR (from:aosnodaigh) OR (from:bernarddurkantd) OR (from:bgriffintd) OR (from:billy_timmins) OR (from:brendansmithtd) OR (from:brianwalshfg) OR (from:catherinegalway) OR (from:cathmurphytd) OR (from:charlieflanagan) OR (from:ciarancannon) OR (from:ciarancuffe) OR (from:claredalymep) OR (from:corcorankennedy) OR (from:cormacdevlin) OR (from:cowenbarry) OR (from:damien_english) OR (from:dannevilletd) OR (from:daracalleary) OR (from:davidcullinane) OR (from:davidstantontd) OR (from:denisnaughten) OR (from:donnellystephen) OR (from:drjamesreilly) OR (from:eamonocuiv) OR (from:eamonryan) OR (from:fergusodowd) OR (from:finianmcgrath) OR (from:fitzgeraldfrncs) OR (from:frankfeighan) OR (from:geraldnash) OR (from:ivanabacik) OR (from:janosullivantd) OR (from:jmcguinnesstd) OR (from:joan_burton) OR (from:joancollinstd) OR (from:joecareytd),2020-02-02T00:00:00.000Z,2020-02-03T00:00:00.000Z,156
(from:1hildegarde) OR (from:alanfarrell) OR (from:alankellylabour) OR (from:anneferristd) OR (from:annphelan1) OR (from:anthonylawlorfg) OR (from:aodhanoriordain) OR (from:aosnodaigh) OR (from:bernarddurkantd) OR (from:bgriffintd) OR (from:billy_timmins) OR (from:brendansmithtd) OR (from:brianwalshfg) OR (from:catherinegalway) OR (from:cathmurphytd) OR (from:charlieflanagan) OR (from:ciarancannon) OR (from:ciarancuffe) OR (from:claredalymep) OR (from:corcorankennedy) OR (from:cormacdevlin) OR (from:cowenbarry) OR (from:damien_english) OR (from:dannevilletd) OR (from:daracalleary) OR (from:davidcullinane) OR (from:davidstantontd) OR (from:denisnaughten) OR (from:donnellystephen) OR (from:drjamesreilly) OR (from:eamonocuiv) OR (from:eamonryan) OR (from:fergusodowd) OR (from:finianmcgrath) OR (from:fitzgeraldfrncs) OR (from:frankfeighan) OR (from:geraldnash) OR (from:ivanabacik) OR (from:janosullivantd) OR (from:jmcguinnesstd) OR (from:joan_burton) OR (from:joancollinstd) OR (from:joecareytd),2020-02-03T00:00:00.000Z,2020-02-04T00:00:00.000Z,157
(from:1hildegarde) OR (from:alanfarrell) OR (from:alankellylabour) OR (from:anneferristd) OR (from:annphelan1) OR (from:anthonylawlorfg) OR (from:aodhanoriordain) OR (from:aosnodaigh) OR (from:bernarddurkantd) OR (from:bgriffintd) OR (from:billy_timmins) OR (from:brendansmithtd) OR (from:brianwalshfg) OR (from:catherinegalway) OR (from:cathmurphytd) OR (from:charlieflanagan) OR (from:ciarancannon) OR (from:ciarancuffe) OR (from:claredalymep) OR (from:corcorankennedy) OR (from:cormacdevlin) OR (from:cowenbarry) OR (from:damien_english) OR (from:dannevilletd) OR (from:daracalleary) OR (from:davidcullinane) OR (from:davidstantontd) OR (from:denisnaughten) OR (from:donnellystephen) OR (from:drjamesreilly) OR (from:eamonocuiv) OR (from:eamonryan) OR (from:fergusodowd) OR (from:finianmcgrath) OR (from:fitzgeraldfrncs) OR (from:frankfeighan) OR (from:geraldnash) OR (from:ivanabacik) OR (from:janosullivantd) OR (from:jmcguinnesstd) OR (from:joan_burton) OR (from:joancollinstd) OR (from:joecareytd),2020-02-04T00:00:00.000Z,2020-02-05T00:00:00.000Z,217
(from:1hildegarde) OR (from:alanfarrell) OR (from:alankellylabour) OR (from:anneferristd) OR (from:annphelan1) OR (from:anthonylawlorfg) OR (from:aodhanoriordain) OR (from:aosnodaigh) OR (from:bernarddurkantd) OR (from:bgriffintd) OR (from:billy_timmins) OR (from:brendansmithtd) OR (from:brianwalshfg) OR (from:catherinegalway) OR (from:cathmurphytd) OR (from:charlieflanagan) OR (from:ciarancannon) OR (from:ciarancuffe) OR (from:claredalymep) OR (from:corcorankennedy) OR (from:cormacdevlin) OR (from:cowenbarry) OR (from:damien_english) OR (from:dannevilletd) OR (from:daracalleary) OR (from:davidcullinane) OR (from:davidstantontd) OR (from:denisnaughten) OR (from:donnellystephen) OR (from:drjamesreilly) OR (from:eamonocuiv) OR (from:eamonryan) OR (from:fergusodowd) OR (from:finianmcgrath) OR (from:fitzgeraldfrncs) OR (from:frankfeighan) OR (from:geraldnash) OR (from:ivanabacik) OR (from:janosullivantd) OR (from:jmcguinnesstd) OR (from:joan_burton) OR (from:joancollinstd) OR (from:joecareytd),2020-02-05T00:00:00.000Z,2020-02-06T00:00:00.000Z,222
(from:1hildegarde) OR (from:alanfarrell) OR (from:alankellylabour) OR (from:anneferristd) OR (from:annphelan1) OR (from:anthonylawlorfg) OR (from:aodhanoriordain) OR (from:aosnodaigh) OR (from:bernarddurkantd) OR (from:bgriffintd) OR (from:billy_timmins) OR (from:brendansmithtd) OR (from:brianwalshfg) OR (from:catherinegalway) OR (from:cathmurphytd) OR (from:charlieflanagan) OR (from:ciarancannon) OR (from:ciarancuffe) OR (from:claredalymep) OR (from:corcorankennedy) OR (from:cormacdevlin) OR (from:cowenbarry) OR (from:damien_english) OR (from:dannevilletd) OR (from:daracalleary) OR (from:davidcullinane) OR (from:davidstantontd) OR (from:denisnaughten) OR (from:donnellystephen) OR (from:drjamesreilly) OR (from:eamonocuiv) OR (from:eamonryan) OR (from:fergusodowd) OR (from:finianmcgrath) OR (from:fitzgeraldfrncs) OR (from:frankfeighan) OR (from:geraldnash) OR (from:ivanabacik) OR (from:janosullivantd) OR (from:jmcguinnesstd) OR (from:joan_burton) OR (from:joancollinstd) OR (from:joecareytd),2020-02-06T00:00:00.000Z,2020-02-07T00:00:00.000Z,258
(from:1hildegarde) OR (from:alanfarrell) OR (from:alankellylabour) OR (from:anneferristd) OR (from:annphelan1) OR (from:anthonylawlorfg) OR (from:aodhanoriordain) OR (from:aosnodaigh) OR (from:bernarddurkantd) OR (from:bgriffintd) OR (from:billy_timmins) OR (from:brendansmithtd) OR (from:brianwalshfg) OR (from:catherinegalway) OR (from:cathmurphytd) OR (from:charlieflanagan) OR (from:ciarancannon) OR (from:ciarancuffe) OR (from:claredalymep) OR (from:corcorankennedy) OR (from:cormacdevlin) OR (from:cowenbarry) OR (from:damien_english) OR (from:dannevilletd) OR (from:daracalleary) OR (from:davidcullinane) OR (from:davidstantontd) OR (from:denisnaughten) OR (from:donnellystephen) OR (from:drjamesreilly) OR (from:eamonocuiv) OR (from:eamonryan) OR (from:fergusodowd) OR (from:finianmcgrath) OR (from:fitzgeraldfrncs) OR (from:frankfeighan) OR (from:geraldnash) OR (from:ivanabacik) OR (from:janosullivantd) OR (from:jmcguinnesstd) OR (from:joan_burton) OR (from:joancollinstd) OR (from:joecareytd),2020-02-07T00:00:00.000Z,2020-02-08T00:00:00.000Z,215
(from:1hildegarde) OR (from:alanfarrell) OR (from:alankellylabour) OR (from:anneferristd) OR (from:annphelan1) OR (from:anthonylawlorfg) OR (from:aodhanoriordain) OR (from:aosnodaigh) OR (from:bernarddurkantd) OR (from:bgriffintd) OR (from:billy_timmins) OR (from:brendansmithtd) OR (from:brianwalshfg) OR (from:catherinegalway) OR (from:cathmurphytd) OR (from:charlieflanagan) OR (from:ciarancannon) OR (from:ciarancuffe) OR (from:claredalymep) OR (from:corcorankennedy) OR (from:cormacdevlin) OR (from:cowenbarry) OR (from:damien_english) OR (from:dannevilletd) OR (from:daracalleary) OR (from:davidcullinane) OR (from:davidstantontd) OR (from:denisnaughten) OR (from:donnellystephen) OR (from:drjamesreilly) OR (from:eamonocuiv) OR (from:eamonryan) OR (from:fergusodowd) OR (from:finianmcgrath) OR (from:fitzgeraldfrncs) OR (from:frankfeighan) OR (from:geraldnash) OR (from:ivanabacik) OR (from:janosullivantd) OR (from:jmcguinnesstd) OR (from:joan_burton) OR (from:joancollinstd) OR (from:joecareytd),2020-02-08T00:00:00.000Z,2020-02-09T00:00:00.000Z,267
(from:1hildegarde) OR (from:alanfarrell) OR (from:alankellylabour) OR (from:anneferristd) OR (from:annphelan1) OR (from:anthonylawlorfg) OR (from:aodhanoriordain) OR (from:aosnodaigh) OR (from:bernarddurkantd) OR (from:bgriffintd) OR (from:billy_timmins) OR (from:brendansmithtd) OR (from:brianwalshfg) OR (from:catherinegalway) OR (from:cathmurphytd) OR (from:charlieflanagan) OR (from:ciarancannon) OR (from:ciarancuffe) OR (from:claredalymep) OR (from:corcorankennedy) OR (from:cormacdevlin) OR (from:cowenbarry) OR (from:damien_english) OR (from:dannevilletd) OR (from:daracalleary) OR (from:davidcullinane) OR (from:davidstantontd) OR (from:denisnaughten) OR (from:donnellystephen) OR (from:drjamesreilly) OR (from:eamonocuiv) OR (from:eamonryan) OR (from:fergusodowd) OR (from:finianmcgrath) OR (from:fitzgeraldfrncs) OR (from:frankfeighan) OR (from:geraldnash) OR (from:ivanabacik) OR (from:janosullivantd) OR (from:jmcguinnesstd) OR (from:joan_burton) OR (from:joancollinstd) OR (from:joecareytd),2020-02-09T00:00:00.000Z,2020-02-10T00:00:00.000Z,85
(from:1hildegarde) OR (from:alanfarrell) OR (from:alankellylabour) OR (from:anneferristd) OR (from:annphelan1) OR (from:anthonylawlorfg) OR (from:aodhanoriordain) OR (from:aosnodaigh) OR (from:bernarddurkantd) OR (from:bgriffintd) OR (from:billy_timmins) OR (from:brendansmithtd) OR (from:brianwalshfg) OR (from:catherinegalway) OR (from:cathmurphytd) OR (from:charlieflanagan) OR (from:ciarancannon) OR (from:ciarancuffe) OR (from:claredalymep) OR (from:corcorankennedy) OR (from:cormacdevlin) OR (from:cowenbarry) OR (from:damien_english) OR (from:dannevilletd) OR (from:daracalleary) OR (from:davidcullinane) OR (from:davidstantontd) OR (from:denisnaughten) OR (from:donnellystephen) OR (from:drjamesreilly) OR (from:eamonocuiv) OR (from:eamonryan) OR (from:fergusodowd) OR (from:finianmcgrath) OR (from:fitzgeraldfrncs) OR (from:frankfeighan) OR (from:geraldnash) OR (from:ivanabacik) OR (from:janosullivantd) OR (from:jmcguinnesstd) OR (from:joan_burton) OR (from:joancollinstd) OR (from:joecareytd),2020-02-10T00:00:00.000Z,2020-02-11T00:00:00.000Z,116
